section id,recording id,saccade id,start timestamp [ns],end timestamp [ns],duration [ms],amplitude [px],amplitude [deg],mean velocity [px/s],peak velocity [px/s]
3cb3853b-6aad-4e85-b17a-b6ec83a3ea61,831783b3-db8c-4694-ab40-000b7073cdd4,1828,1.734598502240585e+18,1.734598502292679e+18,52,145.09868177040067,10.714760346337988,2972.6039342876525,4574.3854856840235
3cb3853b-6aad-4e85-b17a-b6ec83a3ea61,831783b3-db8c-4694-ab40-000b7073cdd4,1829,1.734598502424502e+18,1.734598502460514e+18,36,50.95853208901802,3.803417843692376,1569.7257331861601,2058.740167736801
3cb3853b-6aad-4e85-b17a-b6ec83a3ea61,831783b3-db8c-4694-ab40-000b7073cdd4,1830,1.734598502636521e+18,1.734598502664523e+18,28,37.28859547599947,2.790714890698576,1294.2524328078146,1530.4435366013095
3cb3853b-6aad-4e85-b17a-b6ec83a3ea61,831783b3-db8c-4694-ab40-000b7073cdd4,1831,1.734598502808632e+18,1.734598502920554e+18,112,562.8797514788112,42.47953593335006,5126.326861294561,7805.978533336961
3cb3853b-6aad-4e85-b17a-b6ec83a3ea61,831783b3-db8c-4694-ab40-000b7073cdd4,1832,1.7345985033005048e+18,1.734598503456541e+18,156,578.9346204397656,43.687875080969704,4545.206861565603,8989.945728388273
3cb3853b-6aad-4e85-b17a-b6ec83a3ea61,831783b3-db8c-4694-ab40-000b7073cdd4,1833,1.734598503624842e+18,1.734598503664475e+18,40,80.26064101149382,6.003492369347363,2059.6509617182987,2863.575324485438
3cb3853b-6aad-4e85-b17a-b6ec83a3ea61,831783b3-db8c-4694-ab40-000b7073cdd4,1834,1.734598503832492e+18,1.7345985038725578e+18,40,104.87539416345234,7.765804271921597,2676.1394544639725,3778.490810002062
3cb3853b-6aad-4e85-b17a-b6ec83a3ea61,831783b3-db8c-4694-ab40-000b7073cdd4,1835,1.734598504124542e+18,1.734598504148867e+18,24,37.723440742027414,2.7920744204158057,1322.6031619826672,1493.7951970064664
3cb3853b-6aad-4e85-b17a-b6ec83a3ea61,831783b3-db8c-4694-ab40-000b7073cdd4,1836,1.734598504540514e+18,1.7345985045604959e+18,20,20.082067348354133,1.5134677128662704,1108.7703195183174,1216.3410689529765
3cb3853b-6aad-4e85-b17a-b6ec83a3ea61,831783b3-db8c-4694-ab40-000b7073cdd4,1837,1.734598504884577e+18,1.7345985049126769e+18,28,42.13516635856551,3.1152814687217822,1568.1715446551132,1835.6480883576621
