section id,recording id,saccade id,start timestamp [ns],end timestamp [ns],duration [ms],amplitude [px],amplitude [deg],mean velocity [px/s],peak velocity [px/s]
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,46,1734335868086125649,1734335868210093649,124,589.0306559679643,43.79589126591646,4868.25318553554,7033.065982839301
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,47,1734335868414429649,1734335868450131649,36,49.51220850658,3.654724971915026,1614.4737065779448,2067.7948036112125
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,48,1734335868590138649,1734335868642167649,52,144.02316252409767,10.668879245432038,3342.7622119680755,5563.226874762246
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,49,1734335868786165649,1734335868890152649,104,577.6790702929371,43.50743539512106,5778.323374014369,9232.03902105781
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,50,1734335869022343649,1734335869066138649,44,93.10434606316127,6.997245997470796,2267.2678632053385,3316.5021199822827
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,51,1734335869258353649,1734335869442311649,184,674.7224768334065,50.89591127463472,6556.880116180438,12989.030188008392
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,52,1734335869674534649,1734335869714121649,40,57.09727319826448,4.218404444172206,1573.7253361978162,2035.6347552629156
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,53,1734335870082127649,1734335870114057649,32,54.323112135044326,4.036394577051513,1721.8750477924712,2178.8102507729527
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,54,1734335870302144649,1734335870362071649,60,135.88128342259535,10.223855522292784,2641.1989831007986,4329.129759793119
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,55,1734335870634376649,1734335870670355649,36,65.96488796402697,4.804864592053885,1969.4526374032582,2721.4910485352766
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,56,1734335870890198649,1734335871066145649,176,514.3167921265008,37.33328137384321,3450.2146385077003,6196.437099844914
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,57,1734335875338058649,1734335875370132649,32,32.835158137427115,2.4794417652271212,1216.053506664384,1413.0792635262521
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,58,1734335877374234649,1734335877402242649,28,42.6423817643604,3.2381211988509557,1589.3055625390052,1856.7491444423558
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,59,1734335877574157649,1734335877602141649,28,34.56595197621183,2.5941299994291005,1502.0176010981722,1772.7606320297923
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,60,1734335879642225649,1734335879670135649,28,46.42630279189455,3.3952103586854885,1675.1659348546234,2032.0106304726917
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,61,1734335880406772649,1734335880606325649,200,638.4356440049723,47.610694407425925,6195.132347759313,20455.376627491612
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,62,1734335880866090649,1734335880906122649,40,153.96037266867555,11.364897404832215,3946.5943925577035,5795.53052413552
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,63,1734335881034094649,1734335881214038649,180,356.27873057736963,26.713446209730755,2257.267546628021,4252.1175835606
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,64,1734335881282165649,1734335881506219649,224,83.58369874230303,6.377770662281921,1302.1124671846653,3103.45078532728
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,65,1734335881626244649,1734335881734158649,108,461.08121713914375,33.07964536075222,4532.244940239206,8985.287102391861
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,66,1734335881882143649,1734335881922147649,40,44.757509338355284,3.4146755991241258,1588.473228590058,2012.5421649472685
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,67,1734335883058138649,1734335883094140649,36,54.868276505318306,3.9239429480217325,1638.1956384646717,2695.158524208817
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,68,1734335883306182649,1734335883330222649,24,24.972223501965356,1.7899756367087094,1154.9350138046375,1432.5696774924347
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,69,1734335883542265649,1734335883570316649,28,38.47520222015303,2.7316931927872203,1358.3369715009087,1591.7434775656423
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,70,1734335884098037649,1734335884178216649,80,66.73785157600625,4.727979897856783,1717.353422266718,2641.6476146822433
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,71,1734335886378147649,1734335886686182649,308,911.8160542020807,68.58439750398577,4515.535761596886,17461.20341036479
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,72,1734335887122344649,1734335887422207649,300,187.93360180819948,13.950052468060708,5063.354067497781,19573.852462511386
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,73,1734335887774196649,1734335887830120649,56,140.15055043519013,10.832432033020446,2668.111263072123,3880.009179264775
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,74,1734335888022214649,1734335888078004649,56,158.60072454941837,11.16738795931679,2966.1962698064167,4646.434142969329
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,75,1734335888250155649,1734335888286173649,36,48.72594464179062,3.444595633392718,1464.4487158533736,1822.146516599819
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,76,1734335888470280649,1734335888602188649,132,343.3659756966604,24.35153407778427,3101.033575944319,8496.122908390655
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,77,1734335888746157649,1734335889014054649,268,528.7610481809402,39.095498089102286,4419.151244978374,10582.46369792757
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,78,1734335889194131649,1734335889222142649,28,37.18477660506624,2.782356359990809,1300.7008355811665,1545.121132695735
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,79,1734335889494151649,1734335889522155649,28,43.03692680532854,3.1412083319514577,1492.623253224355,1702.7152682281535
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,80,1734335890358153649,1734335890394068649,36,68.01886133138892,5.103159579507972,2109.0644175681105,2639.6646229909293
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,81,1734335890634186649,1734335890678141649,44,100.82335703082855,7.440670372477451,2413.513514969732,3413.5699615281915
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,82,1734335891514159649,1734335891554360649,40,72.27949567154243,5.495426789012198,1882.965973509972,2515.842887353981
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,83,1734335892606136649,1734335892786098649,180,575.1798987091884,42.89464303674658,3835.019492798665,9825.231414080403
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,84,1734335893054272649,1734335893222292649,168,710.1927172411453,53.49341928665069,7361.0088418828445,17115.728745701683
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,85,1734335893362490649,1734335893402172649,40,90.68234667369825,6.796017589280862,2385.718930361347,3287.7918326731983
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,86,1734335893582119649,1734335893622183649,40,99.4381441172735,7.327585538076719,2708.9924529292657,3785.430342319198
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,87,1734335893970115649,1734335894030097649,60,123.62700625025235,9.25801413896015,2933.442817272488,5445.291305009688
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,88,1734335894126367649,1734335894158204649,32,83.77249474083382,6.1201290344900485,2563.6850583656455,3379.1574289062746
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,89,1734335894370129649,1734335894418086649,48,175.7609148196636,12.89673150734179,3657.5668343026164,5808.535074944269
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,90,1734335894666011649,1734335894810099649,144,256.27685127359655,19.05939926923439,2035.0521869484933,5900.903845474079
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,91,1734335894990153649,1734335895030031649,40,90.762995405725,6.719101762074886,2382.406229570306,3290.6537582646683
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,92,1734335895201991649,1734335895230085649,28,52.440425670700954,3.8937456913506914,1961.3585314524062,2473.700199306583
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,93,1734335895374151649,1734335895414254649,40,99.95909828398727,7.430226732871425,2632.057998816983,4010.088567991822
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,94,1734335895602150649,1734335895638097649,36,47.87404537294566,3.4989986789208154,1560.7698332854236,2096.339609082561
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,95,1734335895846179649,1734335895970103649,124,433.2240423037631,32.51754627681525,4305.9915783745155,10830.173167224424
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,96,1734335896046131649,1734335896142118649,96,463.5538912914387,34.91937707090737,5948.41465724991,10065.516626554809
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,97,1734335896234148649,1734335896254146649,20,26.67862175649858,2.0202702767933247,1466.0908797440811,1704.7650549886182
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,98,1734335896394124649,1734335896426368649,32,90.53194537388187,6.629353289076497,2802.149911016488,3669.0132880471733
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,99,1734335896778010649,1734335896854151649,76,339.04679973647626,24.526677148385517,4625.943182138645,7757.399868623336
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,100,1734335897022275649,1734335897062452649,40,66.65716449451318,4.829212624887241,1689.2121626312,2396.0277316832426
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,101,1734335897274116649,1734335897454121649,180,768.3051789410065,57.78568489966016,4690.502356773275,8973.989976531611
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,102,1734335897602172649,1734335897790103649,188,733.817328673421,55.40164544640063,5426.978569038903,9399.060127136603
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,103,1734335898066127649,1734335898106119649,40,82.74711906533066,6.086772614533749,2217.836755076688,3035.2599869568953
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,104,1734335898390358649,1734335898438119649,48,172.9064707895533,12.636087991908727,3553.575730888031,5243.344869763132
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,105,1734335898586152649,1734335898642270649,56,175.79274546484734,12.940504567315903,3391.9198953555247,5056.956909534056
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,106,1734335898802062649,1734335898854347649,52,238.23099199809943,17.61868177296704,4404.403499762505,6830.0135739630605
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,107,1734335899086052649,1734335899126159649,40,123.95719318233745,9.139498708158406,3365.5955718668674,4875.44658159823
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,108,1734335899230097649,1734335899282141649,52,243.86877494974985,17.973727089945488,4974.211550319026,7954.419586070835
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,109,1734335899462382649,1734335899502074649,40,87.06409679529098,6.409059098539666,2317.2644276828105,3195.008286864559
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,110,1734335899782144649,1734335899830094649,48,150.64474031677798,11.120904489601378,3086.891482499066,4659.831355504003
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,111,1734335900054172649,1734335900074159649,20,22.372986987715308,1.6529375383110165,1226.646788770303,1365.8825166105225
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,112,1734335900206457649,1734335900246124649,40,86.16238876025116,6.382502377221577,2199.3214773969257,3093.2497968634143
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,113,1734335901002183649,1734335901054168649,52,171.4887391172426,12.598024326898184,3284.2249085991616,5333.496696694937
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,114,1734335901214186649,1734335901242076649,28,48.56582567819008,3.5670496472049833,1752.8487642533928,2311.678935290498
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,115,1734335901450225649,1734335901510150649,60,256.71940002347736,18.87839285834648,4320.160370372409,7341.816064253489
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,116,1734335902810118649,1734335902990153649,180,63.4940218919873,4.661941329261421,2913.8166292686005,6117.527411714948
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,117,1734335904662065649,1734335904962085649,300,237.9690102872842,17.598357263620525,3646.7067770915246,12924.688943584199
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,118,1734335905054219649,1734335905094385649,40,107.33295861253954,7.920075632762831,2845.7002475975933,3918.6353022225358
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,119,1734335905362145649,1734335905402240649,40,133.13280461183882,9.84075136118213,3021.6463812804122,4344.496546058607
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,120,1734335905598129649,1734335905654255649,56,211.62745710559844,15.607287003812953,3970.7741757773674,6714.260287914797
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,121,1734335906234241649,1734335906274369649,40,95.54149962395637,7.075257754207983,2406.571180312202,3313.341214859566
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,122,1734335906526146649,1734335906570031649,44,93.05446908851643,6.90237255834697,2167.8621650340688,2882.519582697905
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,123,1734335907262069649,1734335907486205649,224,31.99916577930038,2.352973764369172,2678.4060170340017,8784.45592243875
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,124,1734335909570102649,1734335909918140649,348,28.366485518578006,2.1077234775467337,2033.6606666042344,5509.155683907921
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,125,1734335910210185649,1734335910274170649,64,162.45620957792,12.008790494695635,2658.8176771342764,4107.883240558825
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,126,1734335910410152649,1734335910450146649,40,141.6190247776425,10.4992211399979,3696.6741142795922,5164.354248769993
