blink id,start timestamp [ns],end timestamp [ns],duration [ms]
389,1734347467089332455,1734347467509093455,420
390,1734347468489055455,1734347468845181455,356
391,1734347469425162455,1734347469785067455,360
392,1734347470517481455,1734347470857142455,340
393,1734347472269062455,1734347472849048455,580
394,1734347473169076455,1734347473529058455,360
395,1734347473577061455,1734347473965101455,388
396,1734347474877196455,1734347475237063455,360
397,1734347478437057455,1734347478761226455,324
398,1734347479949063455,1734347480165073455,216
399,1734347480621262455,1734347480977064455,356
400,1734347481413098455,1734347481753056455,340
401,1734347484069179455,1734347484381066455,312
402,1734347484901158455,1734347485293056455,392
403,1734347487841146455,1734347488149429455,308
404,1734347488489065455,1734347488857069455,368
405,1734347489285172455,1734347489557091455,272
406,1734347489561146455,1734347489933044455,372
407,1734347491805057455,1734347492161115455,356
408,1734347492461068455,1734347492685066455,224
409,1734347494049387455,1734347494385084455,336
410,1734347494489091455,1734347494849044455,360
411,1734347495661143455,1734347496057067455,396
412,1734347497285152455,1734347497641074455,356
413,1734347499105156455,1734347499421074455,316
414,1734347499917121455,1734347500249053455,332
415,1734347500697123455,1734347500953056455,256
416,1734347501249048455,1734347501641086455,392
417,1734347503149096455,1734347503521170455,372
418,1734347503849057455,1734347504245067455,396
419,1734347504342896455,1734347504741169455,398
420,1734347505089069455,1734347505501120455,412
421,1734347506257038455,1734347506613025455,356
422,1734347507485179455,1734347507809052455,324
423,1734347509313253455,1734347509685086455,372
424,1734347510789065455,1734347511117057455,328
425,1734347511409091455,1734347511681067455,272
426,1734347511685087455,1734347512021049455,336
427,1734347513525097455,1734347513913057455,388
428,1734347514017081455,1734347514401540455,384
429,1734347514465095455,1734347514845071455,380
430,1734347515137093455,1734347515509059455,372
431,1734347516321079455,1734347516701342455,380
432,1734347517573110455,1734347517965071455,392
433,1734347519005302455,1734347519337149455,332
434,1734347519461248455,1734347519861133455,400
435,1734347519925063455,1734347520329122455,404
436,1734347521125057455,1734347521449112455,324
437,1734347521613071455,1734347522009253455,396
438,1734347524769048455,1734347525133219455,364
439,1734347528301336455,1734347528589196455,288
440,1734347528593156455,1734347528969147455,376
441,1734347530737133455,1734347531121069455,384
442,1734347532549144455,1734347532925142455,376
443,1734347532993078455,1734347533369069455,376
444,1734347534933066455,1734347535245088455,312
445,1734347537293188455,1734347537641169455,348
446,1734347539753059455,1734347540125057455,372
447,1734347542737076455,1734347543093149455,356
448,1734347543849102455,1734347544225071455,376
449,1734347544385102455,1734347544765043455,380
450,1734347549269090455,1734347549589076455,320
451,1734347552761155455,1734347553177153455,416
452,1734347558457051455,1734347558841408455,384
453,1734347559553126455,1734347559949066455,396
454,1734347560585109455,1734347560969290455,384
455,1734347561497902455,1734347561961148455,463
456,1734347562361057455,1734347562737115455,376
457,1734347563637087455,1734347563981202455,344
458,1734347563985346455,1734347564329063455,344
459,1734347564977081455,1734347565377027455,400
460,1734347565845050455,1734347566213056455,368
461,1734347566333050455,1734347566701171455,368
462,1734347569949290455,1734347570377540455,428
463,1734347572209081455,1734347572469044455,260
464,1734347573601352455,1734347573973061455,372
465,1734347576825092455,1734347577121073455,296
466,1734347584577044455,1734347584833039455,256
467,1734347593549060455,1734347593869197455,320
468,1734347594805280455,1734347595161086455,356
469,1734347595517074455,1734347595961136455,444
470,1734347596085059455,1734347596657022455,572
471,1734347596809061455,1734347597353061455,544
472,1734347601513207455,1734347601817044455,304
473,1734347603961165455,1734347604269041455,308
474,1734347607045070455,1734347607361095455,316
475,1734347609721186455,1734347609989129455,268
476,1734347612173049455,1734347612581060455,408
477,1734347615793159455,1734347616021140455,228
478,1734347616029048455,1734347616357151455,328
479,1734347618289085455,1734347618557141455,268
480,1734347620709063455,1734347621065030455,356
481,1734347621265750455,1734347621465185455,199
482,1734347621469055455,1734347621901252455,432
483,1734347621957086455,1734347622349087455,392
484,1734347623077073455,1734347623433040455,356
485,1734347623717212455,1734347624097046455,380
486,1734347624125091455,1734347624505070455,380
487,1734347625085327455,1734347625441053455,356
488,1734347631641370455,1734347632017181455,376
489,1734347633141671455,1734347633509061455,367
490,1734347633781116455,1734347634153157455,372
491,1734347634741154455,1734347635129146455,388
492,1734347637217056455,1734347637589167455,372
493,1734347638897096455,1734347639273063455,376
494,1734347639717089455,1734347640085077455,368
495,1734347651809089455,1734347652205072455,396
496,1734347652325332455,1734347652805282455,480
497,1734347657929057455,1734347658229091455,300
498,1734347658329069455,1734347658733179455,404
499,1734347662585186455,1734347662905061455,320
500,1734347664465456455,1734347664801067455,336
501,1734347665881036455,1734347666269320455,388
502,1734347667637176455,1734347667981548455,344
503,1734347669649195455,1734347670033060455,384
504,1734347670489043455,1734347670901156455,412
505,1734347671685082455,1734347672121198455,436
506,1734347675237066455,1734347675569081455,332
507,1734347678345137455,1734347678693112455,348
508,1734347681001859455,1734347681393105455,391
509,1734347681933079455,1734347682305162455,372
510,1734347684637322455,1734347685009052455,372
511,1734347687325180455,1734347687681066455,356
512,1734347687913294455,1734347688293045455,380
513,1734347690505120455,1734347690857062455,352
514,1734347691505052455,1734347691861126455,356
515,1734347693965182455,1734347694329097455,364
516,1734347694857095455,1734347695201198455,344
517,1734347697093283455,1734347697501127455,408
518,1734347699141071455,1734347699505055455,364
519,1734347701069049455,1734347701433114455,364
520,1734347704417276455,1734347704805052455,388
521,1734347705033100455,1734347705393075455,360
522,1734347710001040455,1734347710337088455,336
523,1734347713281299455,1734347713677059455,396
524,1734347714777079455,1734347715241106455,464
525,1734347715693048455,1734347716077075455,384
526,1734347717689087455,1734347718065057455,376
527,1734347719445056455,1734347719789085455,344
528,1734347720621076455,1734347721029058455,408
529,1734347721541085455,1734347721913055455,372
530,1734347722285071455,1734347722677148455,392
531,1734347726061158455,1734347726349083455,288
532,1734347726353202455,1734347726713174455,360
533,1734347726881190455,1734347727209040455,328
534,1734347727757372455,1734347728061071455,304
535,1734347728065051455,1734347728393062455,328
536,1734347728429048455,1734347728865078455,436
537,1734347731813066455,1734347732085065455,272
538,1734347732629075455,1734347732961306455,332
539,1734347734097047455,1734347734397059455,300
540,1734347734853184455,1734347735213074455,360
541,1734347737141079455,1734347737493054455,352
542,1734347743333096455,1734347743689023455,356
543,1734347743873044455,1734347744205054455,332
544,1734347744833129455,1734347745241129455,408
545,1734347746393245455,1734347746765062455,372
546,1734347748409056455,1734347748805158455,396
547,1734347749377055455,1734347749721065455,344
548,1734347750861128455,1734347751329073455,468
549,1734347751961060455,1734347752245327455,284
550,1734347752249085455,1734347752601281455,352
551,1734347752661229455,1734347753069127455,408
552,1734347754629111455,1734347754861161455,232
553,1734347754865068455,1734347755153152455,288
554,1734347755161215455,1734347755281172455,120
555,1734347755285036455,1734347755709043455,424
556,1734347755997048455,1734347756445275455,448
557,1734347757609056455,1734347757989164455,380
558,1734347760377084455,1734347760729037455,352
559,1734347761977056455,1734347762293069455,316
560,1734347762529144455,1734347762901059455,372
561,1734347763145058455,1734347763601224455,456
562,1734347765309127455,1734347765705060455,396
563,1734347767553064455,1734347767917106455,364
564,1734347769137228455,1734347769529054455,392
565,1734347770533082455,1734347770941089455,408
566,1734347771493143455,1734347771841067455,348
567,1734347773621893455,1734347773953085455,331
568,1734347774725171455,1734347775105081455,380
569,1734347775801066455,1734347776157173455,356
570,1734347777297067455,1734347777633046455,336
571,1734347779957102455,1734347780269071455,312
572,1734347781165064455,1734347781525069455,360
573,1734347783477048455,1734347783721054455,244
574,1734347784526151455,1734347784897059455,371
575,1734347785977069455,1734347786321319455,344
576,1734347786945145455,1734347787385071455,440
577,1734347789349066455,1734347789701043455,352
578,1734347794761114455,1734347794897086455,136
579,1734347794901181455,1734347795313196455,412
580,1734347795865063455,1734347796253109455,388
581,1734347798221065455,1734347798617049455,396
582,1734347799993091455,1734347800353304455,360
583,1734347803605507455,1734347803937058455,332
584,1734347805105612455,1734347805441278455,336
585,1734347806869175455,1734347807201076455,332
586,1734347810733080455,1734347811001092455,268
587,1734347814769040455,1734347815065265455,296
588,1734347815445194455,1734347815845061455,400
589,1734347816905218455,1734347817253042455,348
590,1734347817837047455,1734347818237120455,400
591,1734347818641065455,1734347819025047455,384
592,1734347820921184455,1734347821261056455,340
593,1734347824221113455,1734347824629046455,408
