saccade id,start timestamp [ns],end timestamp [ns],duration [ms],amplitude [px],amplitude [deg],mean velocity [px/s],peak velocity [px/s]
510,1734347017605077455,1734347017785068455,180,33.87749051484436,2.5634138722128386,4706.141839475765,8166.533440091142
511,1734347017917072455,1734347017957110455,40,105.81283656340923,7.788420637789868,2468.0286214389034,3811.5532452636144
512,1734347018165135455,1734347018209174455,44,101.99101822243033,7.541229350047645,2457.374983510832,3565.1377712393937
513,1734347018369057455,1734347018565049455,196,572.3966193062049,43.15188118588297,3719.42271650714,8294.124038329643
514,1734347018653189455,1734347018681205455,28,24.844862722996545,1.8328944674118133,1082.515847301237,1203.1527189561962
515,1734347018853076455,1734347019177051455,324,576.3449656123887,43.50056373414982,3433.7979944440463,12753.235999930175
516,1734347019257089455,1734347019549113455,292,587.3956920449099,44.30067748213125,2875.0078838972017,9789.408592796928
517,1734347019657054455,1734347019673121455,16,22.734949867976376,1.6862289176900351,1643.4689742204675,2124.801214228528
518,1734347019733043455,1734347020077071455,344,715.2720744580889,54.05165712809115,2970.4169690815675,7729.506538880831
519,1734347020377054455,1734347020401345455,24,26.928535198403832,1.907495797764772,1219.2987852763297,1329.6763899648745
520,1734347020853056455,1734347020953055455,100,7.166178354809847,0.4954686333380402,4596.2046823595065,9461.188945274596
521,1734347021141274455,1734347021305165455,164,580.1330622185365,41.94793605714139,3614.7331767091455,6705.411298710907
522,1734347021569185455,1734347021689065455,120,597.227943201006,43.97409308478562,5154.584238862005,8276.285056629391
523,1734347021889123455,1734347022101098455,212,200.43291797809195,14.90169098011092,3317.7342562790186,6896.9921152461
524,1734347022173046455,1734347022209059455,36,79.00109375314764,5.881416172330534,2131.3634337034364,2902.760550083415
525,1734347022825154455,1734347022857048455,32,48.96638275344084,3.68220054509212,1734.593675884316,2084.608783570655
526,1734347023141212455,1734347023197051455,56,117.6398593955474,8.701071676298685,2241.2798072100845,3468.378396642968
527,1734347023485116455,1734347023662017455,177,105.74426896064044,7.862570654939359,3318.82390559886,7059.349610241591
528,1734347024809089455,1734347024869043455,60,166.85594924753593,12.406739978966902,2999.8765873859725,4773.625830137141
529,1734347024969086455,1734347024989108455,20,39.79807573063085,2.915763034175934,1727.467687760749,2022.7198175355416
530,1734347025257039455,1734347025297056455,40,101.18618862322546,7.408091204632659,2729.9127465537777,3579.528131784436
531,1734347025505065455,1734347025537079455,32,39.24881686881117,2.947220526368412,1416.9392903946234,1623.8150953585666
532,1734347025865058455,1734347025901115455,36,81.28387013491249,6.024728765990184,2432.298459878204,3291.2049037137585
533,1734347026193070455,1734347026229099455,36,72.27179928145092,5.301247065009241,2143.981054246086,2742.0179994636387
534,1734347026433126455,1734347026461105455,28,27.604612103935064,2.0836687690413864,1187.800735992018,1384.9198650072376
535,1734347026529140455,1734347026909086455,380,84.36022470463205,6.234436028695407,2821.563440957838,6697.056483689223
536,1734347027057053455,1734347027089117455,32,60.9675375726559,4.485318006457643,1883.5293852829568,2318.0836863775035
537,1734347027401392455,1734347027641146455,240,252.7223251171946,18.874794389311173,2614.7329833587755,5969.98430196137
538,1734347027705067455,1734347027785060455,80,167.53174862547786,12.562834348789403,2216.5579812177853,3153.123797655518
